email_id,subject,body,category,urgency,processed_text
1,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
2,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
3,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
4,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High,product damaged product received damaged need replacement
5,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
6,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
7,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
8,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
9,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
10,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
11,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
12,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High,product damaged product received damaged need replacement
13,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
14,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
15,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High,product damaged product received damaged need replacement
16,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
17,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
18,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
19,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
20,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
21,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
22,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
23,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
24,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
25,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
26,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,Medium,order received placed order last week havent received please resolve immediately
27,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High,product damaged product received damaged need replacement
28,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
29,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
30,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
31,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
32,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
33,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
34,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
35,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
36,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,Medium,payment issue payment failed amount deducted kindly fix
37,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
38,Product damaged,The product I received is damaged. I need a replacement.,Complaint,Medium,product damaged product received damaged need replacement
39,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High,order received placed order last week havent received please resolve immediately
40,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High,product damaged product received damaged need replacement
41,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High,payment issue payment failed amount deducted kindly fix
