email_id,subject,body,category,urgency
1,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
2,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
3,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
4,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
5,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
6,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
7,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
8,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
9,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
10,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
11,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
12,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
13,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
14,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
15,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
16,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
17,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
18,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
19,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
20,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
21,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
22,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
23,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
24,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
25,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
26,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
27,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
28,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
29,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
30,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
31,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
32,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
33,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
34,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
35,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
36,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
37,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
38,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
39,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
40,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
41,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
42,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
43,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
44,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
45,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
46,Product damaged,The product I received is damaged. I need a replacement.,Complaint,High
47,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
48,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
49,Order not received,I placed an order last week but haven't received it. Please resolve immediately.,Complaint,High
50,Payment issue,My payment failed but the amount was deducted. Kindly fix this.,Complaint,High
51,Change shipping address,Kindly update my shipping address for my last order.,Request,Medium
52,Account upgrade request,I want to upgrade my subscription to premium.,Request,Low
53,Account upgrade request,I want to upgrade my subscription to premium.,Request,Low
54,Change shipping address,Kindly update my shipping address for my last order.,Request,Medium
55,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
56,Account upgrade request,I want to upgrade my subscription to premium.,Request,Low
57,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
58,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
59,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
60,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
61,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
62,Change shipping address,Kindly update my shipping address for my last order.,Request,Medium
63,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
64,Request for invoice,Please send me the invoice for my recent purchase.,Request,Medium
